"","Jahr","Insgesamt","Männer","Frauen","Unter 18","18-65","Über 65"
"1",2005,12.34,11.49,13.15,15.09,11.07,14.33
"2",2006,12.55,11.02,14.01,14.48,11.06,16.24
"3",2007,11.99,10.58,13.34,14.47,10.67,14.19
"4",2008,15.04,14.03,16,18.07,13.16,19.18
"5",2009,14.61,13.81,15.37,17.48,12.98,17.5
"6",2010,14.46,13.26,15.6,18.62,12.66,17.15
"7",2011,14.58,13.92,15.21,18.41,13.09,16.58
"8",2012,14.41,13.51,15.28,17.46,13.35,15.19
"9",2013,14.46,13.59,15.29,19.23,12.87,15.64
"10",2014,14.1,13.28,14.89,18.55,12.9,14.24
"11",2015,13.9,13.54,14.25,17.85,13.09,13.16
"12",2016,14.06,13.46,14.64,16.9,13.56,13.18
"13",2017,14.41,13.5,15.3,19.21,13.51,12.87
